2026-04-12 02:51:31 | INFO     | coda_full | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-12_02-51-31_coda_full.log
2026-04-12 02:51:31 | INFO     | coda_full | ============================================================
2026-04-12 02:51:31 | INFO     | coda_full | Training: CODA-FULL
2026-04-12 02:51:31 | INFO     | coda_full | Device: cuda | Seed: 42 | Dry run: False
2026-04-12 02:51:31 | INFO     | coda_full | Epochs: 30 | Batch: 16 | LR: 1.00e-04
2026-04-12 02:51:31 | INFO     | coda_full | Freeze BERT: True | Prosodic: True | AMP: True
2026-04-12 02:51:31 | INFO     | coda_full | ============================================================
2026-04-12 02:51:35 | INFO     | coda_full | Dataset: 179590 samples
2026-04-12 03:13:09 | DEBUG    | coda_full |   batch 7150 | loss 0.6581 | grad 3.6853 | lr 1.69e-05 | GPU 0.80 GB
2026-04-12 03:13:17 | DEBUG    | coda_full |   batch 7200 | loss 1.0747 | grad 2.6428 | lr 1.71e-05 | GPU 0.81 GB
2026-04-12 03:13:25 | DEBUG    | coda_full |   batch 7250 | loss 0.9076 | grad 3.0096 | lr 1.73e-05 | GPU 0.80 GB
2026-04-12 03:13:33 | DEBUG    | coda_full |   batch 7300 | loss 0.9265 | grad 2.8619 | lr 1.74e-05 | GPU 0.80 GB
2026-04-12 03:13:41 | DEBUG    | coda_full |   batch 7350 | loss 0.5272 | grad 3.3706 | lr 1.76e-05 | GPU 0.81 GB
2026-04-12 03:13:49 | DEBUG    | coda_full |   batch 7400 | loss 0.6539 | grad 3.4115 | lr 1.78e-05 | GPU 0.81 GB
2026-04-12 03:13:57 | DEBUG    | coda_full |   batch 7450 | loss 0.9769 | grad 2.8270 | lr 1.80e-05 | GPU 0.80 GB
2026-04-12 03:14:05 | DEBUG    | coda_full |   batch 7500 | loss 0.4279 | grad 2.5224 | lr 1.81e-05 | GPU 0.80 GB
2026-04-12 03:14:13 | DEBUG    | coda_full |   batch 7550 | loss 0.6657 | grad 3.3960 | lr 1.83e-05 | GPU 0.80 GB
2026-04-12 03:14:21 | DEBUG    | coda_full |   batch 7600 | loss 0.7427 | grad 2.9248 | lr 1.85e-05 | GPU 0.80 GB
