2026-04-11 19:20:57 | INFO     | coda_biattn | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-11_19-20-57_coda_biattn.log
2026-04-11 19:20:57 | INFO     | coda_biattn | ============================================================
2026-04-11 19:20:57 | INFO     | coda_biattn | Training: CODA-BIATTN
2026-04-11 19:20:57 | INFO     | coda_biattn | Device: cuda | Seed: 42 | Dry run: False
2026-04-11 19:20:57 | INFO     | coda_biattn | Epochs: 30 | Batch: 16 | LR: 1.00e-04
2026-04-11 19:20:57 | INFO     | coda_biattn | Freeze BERT: True | Prosodic: True | AMP: True
2026-04-11 19:20:57 | INFO     | coda_biattn | ============================================================
2026-04-11 19:21:01 | INFO     | coda_biattn | Dataset: 179590 samples
2026-04-11 19:27:12 | DEBUG    | coda_biattn |   batch 6750 | loss 0.5149 | grad 1.9875 | lr 1.56e-05 | GPU 0.79 GB
2026-04-11 19:27:14 | DEBUG    | coda_biattn |   batch 6800 | loss 0.7795 | grad 2.1618 | lr 1.57e-05 | GPU 0.78 GB
2026-04-11 19:27:16 | DEBUG    | coda_biattn |   batch 6850 | loss 0.5916 | grad 1.9640 | lr 1.59e-05 | GPU 0.78 GB
2026-04-11 19:27:18 | DEBUG    | coda_biattn |   batch 6900 | loss 0.3933 | grad 1.9778 | lr 1.61e-05 | GPU 0.78 GB
2026-04-11 19:27:19 | DEBUG    | coda_biattn |   batch 6950 | loss 1.1996 | grad 1.8919 | lr 1.62e-05 | GPU 0.79 GB
2026-04-11 19:27:21 | DEBUG    | coda_biattn |   batch 7000 | loss 0.2904 | grad 2.1421 | lr 1.64e-05 | GPU 0.79 GB
2026-04-11 19:27:23 | DEBUG    | coda_biattn |   batch 7050 | loss 0.5744 | grad 2.0933 | lr 1.66e-05 | GPU 0.78 GB
2026-04-11 19:27:25 | DEBUG    | coda_biattn |   batch 7100 | loss 0.8585 | grad 2.0314 | lr 1.67e-05 | GPU 0.78 GB
2026-04-11 19:27:27 | DEBUG    | coda_biattn |   batch 7150 | loss 0.7453 | grad 2.1303 | lr 1.69e-05 | GPU 0.78 GB
2026-04-11 19:27:28 | DEBUG    | coda_biattn |   batch 7200 | loss 0.5754 | grad 2.2560 | lr 1.71e-05 | GPU 0.79 GB
2026-04-11 19:27:30 | DEBUG    | coda_biattn |   batch 7250 | loss 0.7508 | grad 1.9403 | lr 1.73e-05 | GPU 0.79 GB
2026-04-11 19:27:32 | DEBUG    | coda_biattn |   batch 7300 | loss 0.4084 | grad 2.0223 | lr 1.74e-05 | GPU 0.79 GB
2026-04-11 19:27:34 | DEBUG    | coda_biattn |   batch 7350 | loss 0.7327 | grad 1.9251 | lr 1.76e-05 | GPU 0.79 GB
2026-04-11 19:27:36 | DEBUG    | coda_biattn |   batch 7400 | loss 0.9051 | grad 2.0631 | lr 1.78e-05 | GPU 0.78 GB
2026-04-11 19:27:38 | DEBUG    | coda_biattn |   batch 7450 | loss 0.5772 | grad 1.9887 | lr 1.80e-05 | GPU 0.79 GB
2026-04-11 19:27:39 | DEBUG    | coda_biattn |   batch 7500 | loss 0.4057 | grad 2.0563 | lr 1.81e-05 | GPU 0.79 GB
2026-04-11 19:27:41 | DEBUG    | coda_biattn |   batch 7550 | loss 0.8517 | grad 2.0881 | lr 1.83e-05 | GPU 0.79 GB
2026-04-11 19:27:43 | DEBUG    | coda_biattn |   batch 7600 | loss 0.7546 | grad 1.9573 | lr 1.85e-05 | GPU 0.78 GB
2026-04-11 19:27:45 | DEBUG    | coda_biattn |   batch 7650 | loss 0.5315 | grad 2.0148 | lr 1.87e-05 | GPU 0.78 GB
